parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	hierarchicalOptimization	objectivePriorType	objectivePriorParameters				
ic_wt_Nuc__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_		lin	45349999.55	46768567683	90699999.09	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__RB1_E2F_Ser807_Ser811u_		lin	2814081698	2.81E+11	26636479907	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__RB1_E2F_Ser807_Ser811p_		lin	3.35E+10	2.39E+13	6.71E+10	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__PPP2R2B_ENSA_ARPP19_		lin	11352119.84	41494366082	20747183041	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__APC_FBXO5_FZR1_CDC20_Ser355u_		lin	12973089.49	49907897420	24953948710	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDC20_APC_		lin	6790.024468	30954021010	15477010505	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_		lin	26.01085487	6012093023	3006046511	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__APC_FBXO5_FZR1_CDC20_Ser355p_		lin	315436551.7	31543655171	1475555964	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_		lin	88714439.13	1.49135E+11	74567519393	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__FZR1_APC_FBXO5_nTermu_		lin	3.20E+08	3.84E+13	6.40E+08	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__FZR1_APC_FBXO5_nTermp_		lin	2778571736	2.78E+11	96958896644	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	1108384.849	54157689577	27078844788	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__FBXO5_APC_FZR1_Ser182u_		lin	21600026.27	93055470603	43200052.53	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_		lin	6650008.086	73089827649	13300016.17	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_		lin	4000420063	3.22E+12	8.00E+09	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__FBXO5_APC_FZR1_Ser182p_		lin	1637688.753	2275664476	3275377.506	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__FOXM1_DBD_Thr600u_		lin	17287064.11	6699999919	3349999959	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__FOXM1_DBD_Thr600p_		lin	281670.8328	4599999944	2299999972	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	0	354484.3783	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNB_promoter_FOXM1_		lin	598655.1562	59865515.62	6022000	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDC20_promoter_FOXM1_		lin	602145.3796	60214537.96	6022000	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_		lin	0	5462.038242	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__WEE1_Ser123u_		lin	2192523551	1.13E+12	5.63283E+11	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_		lin	195970659.9	90399998901	45199999450	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__WEE1_Ser123p_		lin	6.18E+07	3.81E+13	1.24E+08	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDC25_pSitesp_		lin	5.54E+09	2.96E+14	1.11E+10	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDC25_pSitesu_		lin	2.95E+11	5.22E+14	5.89E+11	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__MASTL_Thr198u_		lin	30780249252	3.08E+12	5.93E+11	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__MASTL_Thr198p_		lin	11148234.12	2.22E+12	2.23E+07	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_		lin	20528040992	2.05E+12	4.01E+11	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_		lin	9.90E+05	2.27E+13	1.98E+06	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_		lin	6675794498	6.68E+11	13529588493	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNE_promoter_E2F_		lin	550975.8419	55097584.19	6022000	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNA_promoter_E2F_		lin	550975.8419	55097584.19	6022000	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__E2F_promoter_E2F_		lin	550975.8419	55097584.19	6022000	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__FBXO5_promoter_E2F_		lin	550975.8419	55097584.19	6022000	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__FOXM1_promoter_E2F_		lin	550975.8419	55097584.19	6022000	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	0	114466.0155	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_		lin	0	114466.0155	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_		lin	0	114466.0155	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_		lin	0	114466.0155	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_		lin	0	114466.0155	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332p_		lin	0	5007949.799	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332p_		lin	0	5007949.799	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__E2F_DBD_1_RB1_Ser332p__E2F_promoter_E2F_1_		lin	0	5007949.799	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__E2F_DBD_1_RB1_Ser332p__FBXO5_promoter_E2F_1_		lin	0	5007949.799	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__E2F_DBD_1_RB1_Ser332p__FOXM1_promoter_E2F_1_		lin	0	5007949.799	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__SKP2		lin	13103822582	1.31E+12	6.02E+10	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__TP53_DBD_Ser15p_		lin	0	0	0	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDKN1A_promoter_TP53_		lin	602200	60220000	6022000	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__FOXO_DBD_		lin	5552367015	5.55E+11	60200000000	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDKN1B_promoter_FOXO_		lin	1777.372886	12044000	6022000	0	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDKN1A_promoter_TP53_1__TP53_DBD_1_Ser15p_		lin	0	0	0	0	0	uniform				#REF!	#REF!
ic_wt_Cyt__CDKN1A_CCNE_A_B_Ser130u_		lin	0	633363.7098	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDKN1B_promoter_FOXO_1__FOXO_DBD_1_		lin	0	60042262.71	0	0	0	uniform				#REF!	#REF!
ic_wt_Cyt__CDKN1B_CCNE_A_Thr187u_		lin	0	15148275.57	0	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	0	340688357.1	0	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	0	1048349135	0	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	0	14377415581	0	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	0	250511.0604	0	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CDKN1A_CCNE_A_B_Ser130p_		lin	0	243.1449021	0	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_		lin	0	325376.4596	0	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_		lin	0	5020.972863	0	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CDKN1B_CCNE_A_Thr187p_		lin	0	35806.67302	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDKN1A_CCNE_A_B_Ser130u_		lin	0	19072.97936	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDKN1B_CCNE_A_Thr187u_		lin	0	594266348.5	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	0	2091594018	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	0	48482734905	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	0	34899366729	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_		lin	0	62119560780	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDKN1A_CCNE_A_B_Ser130p_		lin	0	16155852.09	0	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_		lin	0	494555730.7	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_		lin	0	2408376.419	0	1	0	uniform				#REF!	#REF!
ic_wt_Cyt__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_		lin	0	3038851329	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_		lin	0	8394122.219	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CDKN1B_CCNE_A_Thr187p_		lin	0	46250793226	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_		lin	0	2329488005	0	1	0	uniform				#REF!	#REF!
ic_wt_Nuc__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_		lin	0	7454379847	0	1	0	uniform				#REF!	#REF!
oCCNA		lin	0	0.305627054	0.184376987	1	0	laplace	0;1			#REF!	#REF!
oCCNB		lin	0	0.534931031	0.314538408	1	0	laplace	0;1			#REF!	#REF!
oCCNE		lin	0	0.625025635	0.346951441	1	0	laplace	0;1			#REF!	#REF!
oE2F		lin	0	0.710586775	0.439369918	1	0	laplace	0;1			#REF!	#REF!
oRB1_pSer807Ser811		lin	0	0.092359914	0.063860708	1	0	laplace	0;1			#REF!	#REF!
oSKP2		lin	0	0.325469225	0.193774071	1	0	laplace	0;1			#REF!	#REF!
oCDKN1A		lin	0	0.569668525	0.39437276	1	0	laplace	0;1			#REF!	#REF!
oCDKN1B		lin	0	0.534762112	0.244149435	1	0	laplace	0;1			#REF!	#REF!
sCCNA		lin	2.00E-12	2.00E-10	3.91E-11	1	1	laplace	0;0.0000000002			#REF!	#REF!
sCCNB		lin	2.00E-12	2.00E-10	7.03E-12	1	1	laplace	0;0.0000000002			#REF!	#REF!
sCCNE		lin	2.00E-12	2.00E-10	1.70E-11	1	1	uniform				#REF!	#REF!
sE2F		lin	2.00E-12	2.00E-10	8.03E-12	1	1	uniform				#REF!	#REF!
sRB1_pSer807Ser811		lin	6.10E-14	2.00E-10	8.06E-12	1	1	uniform				#REF!	#REF!
sSKP2		lin	3.10E-14	2.00E-10	1.84E-11	1	1	uniform				#REF!	#REF!
sCDKN1A		lin	2.00E-12	2.00E-10	6.50E-12	1	1	uniform	0;0.0000000002			#REF!	#REF!
sCDKN1B		lin	2.00E-12	2.00E-10	8.10E-11	1	1	uniform	0;0.0000000002			#REF!	#REF!
noiseParameter1		lin	0	0.2	0.00E+00	1	1	laplace	0; 0.001			#REF!	#REF!
noiseParameter2_cycA_nuc		lin	0.166666667	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_cycB1_nuc		lin	0.166666667	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_cycE_nuc		lin	0.166666667	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_E2F1_nuc		lin	0.166666667	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_pRB_nuc		lin	0.166666667	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_Skp2_nuc		lin	0.166666667	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_p21_nuc		lin	0.166666667	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_p27_nuc		lin	0.166666667	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_cycA_cyt		lin	0.006172868	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_cycB1_cyt		lin	0.055555667	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_cycE_cyt		lin	0.018518567	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_E2F1_cyt		lin	0.055555667	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_pRB_cyt		lin	0.002057637	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_Skp2_cyt		lin	0.018518567	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_p21_cyt		lin	0.018518567	1.5	0.5	1	1	uniform				#REF!	#REF!
noiseParameter2_p27_cyt		lin	0.006172868	1.5	0.5	1	1	uniform				#REF!	#REF!
